FW_SR,1024,16,1.2036
FW_SR,1024,16,0.7074
FW_SR,1024,16,0.5209
FW_SR,1024,16,0.5341
FW_SR,1024,16,0.7199
FW_SR,1024,16,2.0987
FW_SR,1024,16,3.2444
FW_SR,1024,256,0.7756
FW_SR,1024,256,0.5820
FW_SR,1024,256,0.5689
FW_SR,1024,256,0.5565
FW_SR,1024,256,0.5693
FW_SR,1024,256,0.5765
FW_SR,1024,256,0.5973
FW_SR,1024,512,0.9383
FW_SR,1024,512,0.8116
FW_SR,1024,512,0.8185
FW_SR,1024,512,0.8204
FW_SR,1024,512,0.8272
FW_SR,1024,512,0.8243
FW_SR,1024,512,0.9189
FW_SR,2048,16,9.2851
FW_SR,2048,16,5.4047
FW_SR,2048,16,3.7403
FW_SR,2048,16,3.4846
FW_SR,2048,16,8.0542
FW_SR,2048,16,16.2868
FW_SR,2048,16,23.8294
FW_SR,2048,256,5.4804
FW_SR,2048,256,3.5017
FW_SR,2048,256,3.0210
FW_SR,2048,256,3.0169
FW_SR,2048,256,3.0455
FW_SR,2048,256,3.3419
FW_SR,2048,256,3.2104
FW_SR,2048,512,5.9281
FW_SR,2048,512,4.2275
FW_SR,2048,512,4.1512
FW_SR,2048,512,4.1555
FW_SR,2048,512,4.1407
FW_SR,2048,512,4.5896
FW_SR,2048,512,4.2787
FW_SR,4096,16,77.6600
FW_SR,4096,16,44.2701
FW_SR,4096,16,27.0614
FW_SR,4096,16,23.4431
FW_SR,4096,16,57.9398
FW_SR,4096,16,117.9978
FW_SR,4096,16,169.0463
FW_SR,4096,256,43.3314
FW_SR,4096,256,25.4515
FW_SR,4096,256,18.5425
FW_SR,4096,256,17.7892
FW_SR,4096,256,17.9167
FW_SR,4096,256,18.0472
FW_SR,4096,256,18.4026
FW_SR,4096,512,42.5851
FW_SR,4096,512,24.6027
FW_SR,4096,512,21.7023
FW_SR,4096,512,21.7874
FW_SR,4096,512,21.9540
FW_SR,4096,512,22.2807
FW_SR,4096,512,21.9966
