Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.132903,0.132608,0.133791
Naive,64,0.131640,0.131431,0.132345
Naive,128,0.133380,0.133181,0.134186
Naive,256,0.132186,0.131901,0.133018
Naive,512,0.134011,0.133810,0.134815
Naive,1024,0.136198,0.135970,0.137206
Transpose,32,0.086205,0.085854,0.086916
Transpose,64,0.077570,0.076953,0.079808
Transpose,128,0.077302,0.076608,0.079891
Transpose,256,0.076983,0.076295,0.080054
Transpose,512,0.077222,0.076544,0.080585
Transpose,1024,0.078031,0.077295,0.080309
Shmem,32,0.079566,0.079163,0.080344
Shmem,64,0.074087,0.073327,0.079671
Shmem,128,0.073710,0.072508,0.079792
Shmem,256,0.073222,0.072292,0.079430
Shmem,512,0.073439,0.072418,0.079358
Shmem,1024,0.074333,0.073423,0.079790
